AIU	AIU	Atiu Island Airport	Atiu Island		CK	200200S	1580600W	0	A
AIV	AIV	George Downer Airport	Aliceville	AL	US	330800N	0880900W	2	A
AIW	AIW	Ai-Ais Airport	Ai-Ais		NA	275900S	0173500E	0	A
AIY	AIY	Bader Field	Atlantic City	NJ	US	392136N	0742726W	1	A
AIZ	AIZ	Lee C Fine Memorial Airport	Kaiser/Lake Ozark	MO	US	380554N	0923250W	2	A
AJA	AJA	Napoleon Bonaparte Airport	Ajaccio		FR	415527N	0084811E	0	A
AJF	AJF	Jouf Airport	Jouf		SA	294704N	0400605E	0	A
AJI	AJI	Agri Airport	Agri		TR	393900N	0430130E	0	A
AJJ	AJJ	Akjoujt Airport	Akjoujt		MR	194350N	0142228W	0	A
AJK	AJK	Araak Airport	Araak		IR	340800N	0495000E	0	A
AJL	AJL	Lenpui Airport	Aizawl		IN	235020N	0923729E	0	A
AJN	AJN	Ouani Airport	Anjouan		KM	120735S	0442547E	0	A
AJR	AJR	Arvidsjaur Airport	Arvidsjaur		SE	653529N	0191708E	0	A
AJS	AJS	Punta Abreojos Airport	Punta Abreojos		MX	265000N	1134000W	2	A
AJU	AJU	Santa Maria Airport	Aracaju	SE	BR	105900S	0370300W	1A	A
AJY	AJY	Manu Dayak Int'l Airport	Agadez		NE	165751N	0075935E	0	A
AKA	AKA	Wulipu Airport	Ankang		CN	324000N	1091200E	0	A
AKB	AKB	Atka Airport	Atka	AK	US	521302N	1741203W	6	A
AKC	CAK	Fulton International Airport	Akron/Canton	OH	US	410224N	0812804W	1	A
AKD	AKD	Akola Airport	Akola		IN	204000N	0770500E	0	A
AKE	AKE	Akieni Airport	Akieni		GA	011020S	0135500E	0	A
AKF	AKF	Kufra Airport	Kufra		LY	241200N	0232000E	0	A
AKG	AKG	Anguganak Airport	Anguganak		PG	033800S	1420100E	1	A
AKH	AKH	Prince Sultan Air Base	Al Kharj		SA	240348N	0473450E	0	M
AKI	AKI	Akiak Airport	Akiak	AK	US	605420N	1611324W	5	A
AKJ	AKJ	Asahikawa Airport	Asahikawa		JP	434000N	1422700E	0	A
AKK	AKK	Akhiok Airport	Akhiok	AK	US	565640N	1541000W	5	A
AKL	AKL	Auckland International Airport	Auckland		NZ	370040S	1744757E	1	A
AKM	AKM	Zakouma Airport	Zakouma		TD	105300N	0194900E	0	A
AKN	AKN	King Salmon Airport	King Salmon	AK	US	584007N	1563808W	5	A
AKO	AKO	Colorado Plains Regional Airport	Akron	CO	US	401000N	1031300W	3	A
AKP	AKP	Anaktuvuk Pass Airport	Anaktuvuk Pass	AK	US	680815N	1514424W	5	A
AKQ	AKQ	Astra Ksetra Airport	Menggala		ID	043700S	1051400E	1	A
AKR	AKR	Akure Airport	Akure		NG	071500N	0050500E	0	A
AKS	AKS	Gwaunaru'u Airport	Auki		SB	084152S	1604051E	0	A
AKT	AKT	Akrotiri RAF Station	Akrotiri		CY	343526N	0325916E	0	M
AKU	AKU	Aksu Airport	Aksu		CN	411538N	0801732E	0	A
AKV	AKV	Akulivik Airport	Akulivik	QC	CA	604906N	0780854W	3	A
AKW	AKW	Aghajari Airport	Aghajari		IR	304500N	0494100E	0	A
AKX	AKX	Aktobe Airport	Aktobe		KZ	501500N	0571300E	1	A
AKY	AKY	Sittwe Airport	Sittwe		MM	200749N	0925249E	0	A
ALA	ALA	Almaty International Airport	Almaty		KZ	432100N	0770200E	2	A
ALB	ALB	Albany International Airport	Albany	NY	US	424455N	0734819W	1	A
ALC	ALC	Alicante Airport	Alicante	SP	ES	381700N	0003400W	1	A
ALD	ALD	Alerta Airport	Alerta		PE	114100S	0692000W	0	A
ALE	ALE	Casparis Municipal Airport	Alpine	TX	US	302500N	1034500W	2	A
ALF	ALF	Alta Airport	Alta		NO	695834N	0232250E	0	A
ALG	ALG	Houari Boumediene Airport	Algiers		DZ	364136N	0031302E	0	A
ALH	ALH	Albany Airport	Albany	WA	AU	345642S	1174821E	4	A
ALI	ALI	Alice International Airport	Alice	TX	US	274500N	0980400W	2	A
ALJ	ALJ	Alexander Bay Airport	Alexander Bay		ZA	283402S	0163211E	0	A
ALK	ALK	Asela Airport	Asela		ET	075800N	0390700E	0	A
ALL	ALL	Albenga Airport	Albenga		IT	440245N	0080732E	0	A
ALM	ALM	White Sands Regional Airport	Alamogordo	NM	US	325045N	1055907W	3	A
ALN	ALN	Alton Airport	Alton	IL	US	385330N	0900254W	2	A
